Kinds,line,score
AVscore,0,263
Linelen,0,11
KEP,0,66.66666666666666
Spacelen,0,2
complexity,0,0.0
AVscore,1,164
Linelen,1,17
KEP,1,64.28571428571428
Spacelen,1,2
complexity,1,0.0
AVscore,2,157
Linelen,2,24
KEP,2,100
Spacelen,2,6
complexity,2,20.833333333333336
AVscore,3,34
Linelen,3,31
KEP,3,76.47058823529412
Spacelen,3,14
complexity,3,19.35483870967742
AVscore,4,249
Linelen,4,27
KEP,4,80.95238095238095
Spacelen,4,6
complexity,4,29.629629629629626
AVscore,5,146
Linelen,5,5
KEP,5,100
Spacelen,5,0
complexity,5,20.0
